id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl
30,Doraemon 1985,Angkat lagi kasusnya ...pasti seru dan pasti ada tersangka baru....#savejessica,UgxMPmshWnZCYrX2Z8l4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgxMPmshWnZCYrX2Z8l4AaABAg,10/5/2023 21:38,0,Angkat lagi kasusnya ...pasti seru dan pasti ada tersangka baru....#savejessica,http://www.youtube.com/channel/UCm7Y0TUPAcEOPChXQjqlG1w
31,Lalalisa Lisa,Halah mirna sehat2 ae kok. Begt minum kopi vietnam bau busuk lgs meningsoi matek hitungan 5 menit . Yg ngebunuh sapa lagi yg jahat irian dan psikopat background macam jessica. Hotman banyak cocot,UgwyX9Ms4BSOWT09a054AaABAg,,1,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgwyX9Ms4BSOWT09a054AaABAg,10/5/2023 21:23,0,Halah mirna sehat2 ae kok. Begt minum kopi vietnam bau busuk lgs meningsoi matek hitungan 5 menit . Yg ngebunuh sapa lagi yg jahat irian dan psikopat background macam jessica. Hotman banyak cocot,http://www.youtube.com/channel/UCC-yisvqwJiIkJNUdB_EMjA
32,Nesyaaa_•,Dagelan dagelan kocak koclok mabuk.,UgwfOzA0FO3X3UM-6d54AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgwfOzA0FO3X3UM-6d54AaABAg,10/5/2023 20:43,0,Dagelan dagelan kocak koclok mabuk.,http://www.youtube.com/channel/UCCu7wj-_0tKanGTAe-QTTHg
33,Lucita Sekartaji,"Kenapa ya sistem pengadilan yg sdh selesai tidak bisa di ulang, meskipun jelas keputusan yang lama sangat lemah atau kurang membuktikan kalau seseorang itu bersalah..harusnya bisa di ulang untuk memperbaiki vonis yang mgkin saja bisa jadi salah dan orang yang benar2 salah jadi bebas bahagia..kalaupun orang yg sekarang benar2 salah pengadilan hrs bisa memberikan bukti2 yg meyakinkan khalayak bahwa putusan iti benar..karena ini hidup dan nama baik..",Ugy2K-y3JoG5J9nGR5d4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=Ugy2K-y3JoG5J9nGR5d4AaABAg,10/5/2023 19:43,0,"Kenapa ya sistem pengadilan yg sdh selesai tidak bisa di ulang, meskipun jelas keputusan yang lama sangat lemah atau kurang membuktikan kalau seseorang itu bersalah..harusnya bisa di ulang untuk memperbaiki vonis yang mgkin saja bisa jadi salah dan orang yang benar2 salah jadi bebas bahagia..kalaupun orang yg sekarang benar2 salah pengadilan hrs bisa memberikan bukti2 yg meyakinkan khalayak bahwa putusan iti benar..karena ini hidup dan nama baik..",http://www.youtube.com/channel/UCcKwBwOchsExq8T6ddCe3KQ
34,Rahmad 007,Ah...paling ini trending sebentar..trending gara2 netflix..lama2 juga ilang sendiri...coba sesekali wartawan itu tanya ke Mahfud MD sama presiden...,UgzgwHv0blGzxAibYZV4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgzgwHv0blGzxAibYZV4AaABAg,10/5/2023 19:17,0,Ah...paling ini trending sebentar..trending gara2 netflix..lama2 juga ilang sendiri...coba sesekali wartawan itu tanya ke Mahfud MD sama presiden...,http://www.youtube.com/channel/UCkQXkOienYWx_63vCFInYEg
35,Angel Cummings,"Kalo di Amrik,,, melakukan hal sprti itu... adalah sprti membuang diri ke jurang pak. Kalo memang tidak bersalah,,, ya tim pengacaranya harus kerja keras investigasi dari luar dan naik banding. Jadi istilahnya berusaha utk Jessica dari dari luar penjara. Krna kalo mengaku juga tidak akan menjadi suatu keyakinan bhawa dia kan diberi kebebasan. Intinya kalo tidak berbuat jangan mengaku itu akan bisa dijadikan utk memperberat jessica secara moral.... dan belum tentu juga dibebaskn. Harus diperjuangkan utk bisa dibebaskan. Atau jessica sendiri dari dalam penjara ajukan kepada presiden utk kasusnnya ditindaklanjuti lebih lanjut. Kalo nga bersalah jangan mengaku bersalah. Tidak benar itu.",Ugxs9QtmTJgDWe65ybt4AaABAg,,3,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=Ugxs9QtmTJgDWe65ybt4AaABAg,10/5/2023 18:43,1,"Kalo di Amrik,,, melakukan hal sprti itu... adalah sprti membuang diri ke jurang pak. Kalo memang tidak bersalah,,, ya tim pengacaranya harus kerja keras investigasi dari luar dan naik banding. Jadi istilahnya berusaha utk Jessica dari dari luar penjara. Krna kalo mengaku juga tidak akan menjadi suatu keyakinan bhawa dia kan diberi kebebasan. Intinya kalo tidak berbuat jangan mengaku itu akan bisa dijadikan utk memperberat jessica secara moral.... dan belum tentu juga dibebaskn. Harus diperjuangkan utk bisa dibebaskan. Atau jessica sendiri dari dalam penjara ajukan kepada presiden utk kasusnnya ditindaklanjuti lebih lanjut. Kalo nga bersalah jangan mengaku bersalah. Tidak benar itu.",http://www.youtube.com/channel/UCtHMTI6dOaal2tq1oUqvzMw
36,Trilaksono Bimantoro,"Masalahnya dalam undang2 KHUP kalo sudah pk maka tidak bisa banding lagi maka cara terakhir adalah grasi, dan itu cara terkahir tentu resikonya meminta ampun dan mengakui kesalahan, itu sudah disampaikan pak Otto kepada Jessica tetapi Jessica menolak.",Ugxs9QtmTJgDWe65ybt4AaABAg.9vVhRyFMUDY9vW5XmorxDH,Angel Cummings,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=Ugxs9QtmTJgDWe65ybt4AaABAg.9vVhRyFMUDY9vW5XmorxDH,10/5/2023 22:22,0,"Masalahnya dalam undang2 KHUP kalo sudah pk maka tidak bisa banding lagi maka cara terakhir adalah grasi, dan itu cara terkahir tentu resikonya meminta ampun dan mengakui kesalahan, itu sudah disampaikan pak Otto kepada Jessica tetapi Jessica menolak.",http://www.youtube.com/channel/UCkEAKWHZtYS7gUifP0XnWaA
37,Junglecat74,Edan .. wong ga salah suruh ngaku salah Biar Tuhan yg mengadili … Org yg memenjarakan Jess … wait and see .. they will get their turn,UgwtpMWUdvD6KxGQGEt4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgwtpMWUdvD6KxGQGEt4AaABAg,10/5/2023 18:34,0,Edan .. wong ga salah suruh ngaku salah Biar Tuhan yg mengadili … Org yg memenjarakan Jess … wait and see .. they will get their turn,http://www.youtube.com/channel/UCwp4eAOXAWkx2A9WuoL7sFg
38,Henny Sofyan,Innocent,UgylNQD1Muz4MXH5oAh4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgylNQD1Muz4MXH5oAh4AaABAg,10/5/2023 18:04,0,Innocent,http://www.youtube.com/channel/UCW6at8GVf3Neq1hml--VKZg
39,Desanto Selfiatos,"Hukum di indonesia terdengar konyol ya..mengutip apa yg bang hotman katakan tadi bahwa berdasarkan hukum yg berlaku di negara kita ini tidak ada lagi jalan keluar utk jesica selain mengajukan grasi kepada presiden..lho,klo semisal setelah 7 tahun hukuman penjara jessica jalani,lantas tiba2 ditemukan kejanggalan dalam kasus pembunuhan mirna dan diragukan bahwa jesica adalah pelakunya mestinya kasus ini dibuka kembali dong..gila lho,atas dasar kemanusiaan kasus ini mesti dibuka kembali,dibedah secara terang benderang..gak perduli klo hukumnya sudah final karna hakim sudah menjatuhkan vonis inilah itulah..klo ditemukan bukti baru yg menguatkan bahwa jessica bukanlah pelakunya ya dibuka lagilah kasusnya..masak 1 manusia yg tidak bersalah dikorbankan hanya dengan alasan peraturan hukumnya sudah final..buang semua peraturan hukum ini itulah klo sudah berbicara kemanusiaan yg adil dan beradab..BUKA KEMBALI KASUS INI!!!!!!?",UgwKgARwOLEmoE0wwV14AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgwKgARwOLEmoE0wwV14AaABAg,10/5/2023 17:51,0,"Hukum di indonesia terdengar konyol ya..mengutip apa yg bang hotman katakan tadi bahwa berdasarkan hukum yg berlaku di negara kita ini tidak ada lagi jalan keluar utk jesica selain mengajukan grasi kepada presiden..lho,klo semisal setelah 7 tahun hukuman penjara jessica jalani,lantas tiba2 ditemukan kejanggalan dalam kasus pembunuhan mirna dan diragukan bahwa jesica adalah pelakunya mestinya kasus ini dibuka kembali dong..gila lho,atas dasar kemanusiaan kasus ini mesti dibuka kembali,dibedah secara terang benderang..gak perduli klo hukumnya sudah final karna hakim sudah menjatuhkan vonis inilah itulah..klo ditemukan bukti baru yg menguatkan bahwa jessica bukanlah pelakunya ya dibuka lagilah kasusnya..masak 1 manusia yg tidak bersalah dikorbankan hanya dengan alasan peraturan hukumnya sudah final..buang semua peraturan hukum ini itulah klo sudah berbicara kemanusiaan yg adil dan beradab..BUKA KEMBALI KASUS INI!!!!!!?",http://www.youtube.com/channel/UCCNxLjKEb1mptJGpz13pG7Q
